,0
0,101108
1,101141
2,101150
3,1626143
4,1626145
5,1626149
6,1626153
7,1626156
8,1626157
9,1626158
10,1626159
11,1626161
12,1626162
13,1626163
14,1626164
15,1626166
16,1626167
17,1626168
18,1626169
19,1626171
20,1626172
21,1626174
22,1626178
23,1626179
24,1626181
25,1626184
26,1626188
27,1626192
28,1626195
29,1626196
30,1626204
31,1626220
32,1626224
33,1626245
34,1626246
35,1626253
36,1627732
37,1627734
38,1627736
39,1627739
40,1627741
41,1627742
42,1627745
43,1627747
44,1627748
45,1627749
46,1627750
47,1627751
48,1627752
49,1627756
50,1627759
51,1627761
52,1627763
53,1627774
54,1627775
55,1627777
56,1627780
57,1627783
58,1627788
59,1627789
60,1627812
61,1627814
62,1627823
63,1627826
64,1627827
65,1627832
66,1627846
67,1627853
68,1627854
69,1627863
70,1627884
71,1627885
72,1627936
73,1628021
74,1628035
75,1628365
76,1628366
77,1628367
78,1628368
79,1628369
80,1628370
81,1628372
82,1628373
83,1628374
84,1628378
85,1628379
86,1628381
87,1628382
88,1628383
89,1628384
90,1628385
91,1628386
92,1628388
93,1628389
94,1628390
95,1628391
96,1628392
97,1628395
98,1628396
99,1628398
100,1628400
101,1628401
102,1628402
103,1628404
104,1628407
105,1628408
106,1628410
107,1628411
108,1628412
109,1628414
110,1628415
111,1628418
112,1628419
113,1628420
114,1628422
115,1628425
116,1628427
117,1628436
118,1628449
119,1628455
120,1628464
121,1628467
122,1628470
123,1628539
124,1628578
125,1628778
126,1628960
127,1628961
128,1628962
129,1628963
130,1628964
131,1628966
132,1628968
133,1628969
134,1628970
135,1628971
136,1628972
137,1628973
138,1628975
139,1628976
140,1628977
141,1628978
142,1628981
143,1628983
144,1628984
145,1628988
146,1628989
147,1628990
148,1628991
149,1628993
150,1628995
151,1628997
152,1628998
153,1629001
154,1629002
155,1629003
156,1629004
157,1629006
158,1629007
159,1629008
160,1629010
161,1629011
162,1629012
163,1629013
164,1629014
165,1629017
166,1629018
167,1629020
168,1629021
169,1629022
170,1629023
171,1629026
172,1629027
173,1629028
174,1629029
175,1629033
176,1629035
177,1629048
178,1629052
179,1629056
180,1629057
181,1629060
182,1629066
183,1629067
184,1629076
185,1629103
186,1629109
187,1629117
188,1629121
