,PLAYER_ID,SCORE,id,player_names,position,team
158,1629620,8.810845214716819,1629620,Justin Robinson,G,OKC
371,203504,6.595839172480734,203504,Trey Burke,G,DAL
45,1627780,6.206122279615726,1627780,Gary Payton II,G,GSW
178,1629645,5.082931004427886,1629645,Kevin Porter,G,HOU
90,1628467,4.385643516188617,1628467,Maxi Kleber,F,DAL
140,1629056,4.1810496330706215,1629056,Terence Davis,G,SAC
139,1629052,4.071198564829326,1629052,Oshae Brissett,F,IND
220,1630170,4.007692909698262,1630170,Devin Vassell,G,SAS
225,1630175,3.546451762733632,1630175,Cole Anthony,G,ORL
15,1626168,3.5285781778706125,1626168,Trey Lyles,F,SAS
192,1629670,3.2688944201599206,1629670,Jordan Nwora,F,MIL
42,1627763,3.2402295103130907,1627763,Malcolm Brogdon,G,IND
119,1629001,3.1793971275129276,1629001,De'Anthony Melton,G,MEM
261,1630241,3.139677032871438,1630241,Sam Merrill,G,MIL
191,1629669,3.0591206439957834,1629669,Jaylen Nowell,G,MIN
303,201988,2.9055934045214182,201988,Patrick Mills,G,SAS
144,1629076,2.7920628206113625,1629076,Tyler Cook,F,DET
358,203476,2.7488595675797787,203476,Gorgui Dieng,C,SAS
2,1626145,2.6466811918040416,1626145,Tyus Jones,G,MEM
37,1627751,2.5926741639711297,1627751,Jakob Poeltl,C,SAS
152,1629234,2.5923395559873175,1629234,Drew Eubanks,F,SAS
273,201142,2.5814295904934754,201142,Kevin Durant,F,BKN
267,200746,2.5666765972399195,200746,LaMarcus Aldridge,C,BKN
268,200752,2.5551941173447417,200752,Rudy Gay,F,SAS
86,1628425,2.4613824281684713,1628425,Sterling Brown,G,HOU
132,1629022,2.4431779422494855,1629022,Lonnie Walker,G,SAS
9,1626161,2.430558708841914,1626161,Willie Cauley-Stein,C,DAL
114,1628991,2.364931580550627,1628991,Jaren Jackson Jr,F,MEM
231,1630182,2.3607336324993553,1630182,Josh Green,G,DAL
304,202066,2.351964568685807,202066,Garrett Temple,G,CHI
382,203914,2.351639819875204,203914,Gary Harris,G,ORL
14,1626167,2.327457113304366,1626167,Myles Turner,C,IND
75,1628392,2.1253480215878087,1628392,Isaiah Hartenstein,C,CLE
34,1627747,2.1159755014292863,1627747,Caris LeVert,G,IND
23,1626196,2.102161038569098,1626196,Josh Richardson,G,DAL
95,1628962,2.098137590869929,1628962,Udoka Azubuike,C,UTA
48,1627789,2.074732900390466,1627789,Timothe Luwawu,G,BKN
173,1629640,2.0010493832596,1629640,Keldon Johnson,F,SAS
305,202322,2.0009737933893654,202322,John Wall,G,HOU
137,1629029,1.988562912615349,1629029,Luka Doncic,F,DAL
222,1630172,1.96130419079055,1630172,Patrick Williams,F,CHI
168,1629634,1.9299735879824398,1629634,Brandon Clarke,F,MEM
27,1626246,1.8844382475867127,1626246,Boban Marjanovic,C,DAL
230,1630181,1.794274257319505,1630181,RJ Hampton,G,ORL
284,201572,1.793363073648604,201572,Brook Lopez,C,MIL
59,1628021,1.791076008927202,1628021,David Nwaba,G,HOU
51,1627826,1.766666181662065,1627826,Ivica Zubac,C,LAC
111,1628988,1.7507848926454115,1628988,Aaron Holiday,G,IND
262,1630256,1.728415855876713,1630256,Jae'Sean Tate,F,HOU
398,203967,1.7282189266091572,203967,Dario Saric,F,PHX
277,201152,1.7201135931161884,201152,Thaddeus Young,F,CHI
115,1628993,1.693482057499685,1628993,Alize Johnson,F,BKN
190,1629667,1.6534683231841514,1629667,Jalen McDaniels,F,CHA
252,1630217,1.651762257837918,1630217,Desmond Bane,G,MEM
379,203897,1.639849044642268,203897,Zach LaVine,G,CHI
215,1630165,1.6214128675109578,1630165,Killian Hayes,G,DET
410,2772,1.6117302640496032,2772,Trevor Ariza,F,MIA
88,1628449,1.5864524907739157,1628449,Chris Boucher,F,TOR
253,1630218,1.5578498735903188,1630218,Robert Woodard,F,SAC
354,203468,1.5416826350193809,203468,CJ McCollum,G,POR
247,1630205,1.540028557917716,1630205,Lamar Stevens,F,CLE
208,1629731,1.5203157890985268,1629731,Dean Wade,F,CLE
296,201942,1.5176512690667887,201942,DeMar DeRozan,G,SAS
116,1628995,1.4619686164329915,1628995,Kevin Knox,F,NYK
378,203648,1.4561489705669521,203648,Thanasis Antetokounmpo,F,MIL
388,203926,1.4324683361964108,203926,Doug McDermott,F,IND
301,201976,1.4265693991502084,201976,Patrick Beverley,G,LAC
311,202340,1.4234629710665698,202340,Avery Bradley,G,HOU
202,1629685,1.3949723533308844,1629685,Dylan Windler,G,CLE
41,1627761,1.3778729396869465,1627761,DeAndre Bembry,G,TOR
343,203107,1.357110539962944,203107,Tomas Satoransky,G,CHI
336,203082,1.3276329351484182,203082,Terrence Ross,G,ORL
105,1628976,1.318230404717217,1628976,Wendell Carter,C,ORL
70,1628379,1.2865985950978929,1628379,Luke Kennard,G,LAC
149,1629162,1.283495918009898,1629162,Jordan McLaughlin,G,MIN
93,1628778,1.2760660721293735,1628778,Paul Watson,G,TOR
332,202954,1.2655992541616292,202954,Brad Wanamaker,G,CHA
366,203496,1.2620967284997884,203496,Robert Covington,F,POR
308,202331,1.2570203557281352,202331,Paul George,F,LAC
266,1630466,1.246379488839809,1630466,Gabriel Deck,F,OKC
79,1628401,1.2201784244712706,1628401,Derrick White,G,SAS
287,201586,1.2087403869379927,201586,Serge Ibaka,F,LAC
255,1630230,1.2017969492831995,1630230,Naji Marshall,F,NOP
236,1630190,1.1963857121228774,1630190,Elijah Hughes,G,UTA
179,1629647,1.178579922152985,1629647,Darius Bazley,F,OKC
164,1629630,1.1772506722596445,1629630,Ja Morant,G,MEM
163,1629629,1.171672632150163,1629629,Cam Reddish,F,ATL
265,1630271,1.1271141648960192,1630271,Brodric Thomas,G,CLE
22,1626195,1.1050613775336688,1626195,Willy Hernangomez,C,NOP
349,203200,1.0879116547026253,203200,Justin Holiday,F,IND
103,1628973,1.0777378189459965,1628973,Jalen Brunson,G,DAL
