,GAME_ID
7380,0021700002
7381,0021700002
7382,0021700001
7383,0021700001
7384,0021700011
7385,0021700011
7386,0021700012
7387,0021700012
7388,0021700007
7389,0021700007
7390,0021700005
7391,0021700005
7392,0021700003
7393,0021700003
7394,0021700004
7395,0021700004
7396,0021700010
7397,0021700010
7398,0021700009
7399,0021700009
7400,0021700013
7401,0021700013
7402,0021700006
7403,0021700006
7404,0021700008
7405,0021700008
7406,0021700016
7407,0021700016
7408,0021700014
7409,0021700014
7410,0021700015
7411,0021700015
7412,0021700019
7413,0021700019
7414,0021700026
7415,0021700026
7416,0021700022
7417,0021700022
7418,0021700021
7419,0021700021
7420,0021700018
7421,0021700018
7422,0021700024
7423,0021700024
7424,0021700023
7425,0021700023
7426,0021700017
7427,0021700017
7428,0021700020
7429,0021700020
7430,0021700025
7431,0021700025
7432,0021700031
7433,0021700031
7434,0021700030
7435,0021700030
7436,0021700037
7437,0021700037
7438,0021700032
7439,0021700032
7440,0021700028
7441,0021700028
7442,0021700029
7443,0021700029
7444,0021700034
7445,0021700034
7446,0021700036
7447,0021700036
7448,0021700035
7449,0021700035
7450,0021700027
7451,0021700027
7452,0021700033
7453,0021700033
7454,0021700040
7455,0021700040
7456,0021700038
7457,0021700038
7458,0021700039
7459,0021700039
7460,0021700046
7461,0021700046
7462,0021700048
7463,0021700048
7464,0021700043
7465,0021700043
7466,0021700042
7467,0021700042
7468,0021700041
7469,0021700041
7470,0021700044
7471,0021700044
7472,0021700045
7473,0021700045
7474,0021700047
7475,0021700047
7476,0021700051
7477,0021700051
7478,0021700054
7479,0021700054
7480,0021700050
7481,0021700050
7482,0021700049
7483,0021700049
7484,0021700053
7485,0021700053
7486,0021700052
7487,0021700052
7488,0021700057
7489,0021700057
7490,0021700063
7491,0021700063
7492,0021700064
7493,0021700064
7494,0021700062
7495,0021700062
7496,0021700058
7497,0021700058
7498,0021700059
7499,0021700059
7500,0021700056
7501,0021700056
7502,0021700061
7503,0021700061
7504,0021700055
7505,0021700055
7506,0021700060
7507,0021700060
7508,0021700065
7509,0021700065
7510,0021700068
7511,0021700068
7512,0021700067
7513,0021700067
7514,0021700069
7515,0021700069
7516,0021700066
7517,0021700066
7518,0021700075
7519,0021700075
7520,0021700076
7521,0021700076
7522,0021700073
7523,0021700073
7524,0021700071
7525,0021700071
7526,0021700072
7527,0021700072
7528,0021700074
7529,0021700074
7530,0021700070
7531,0021700070
7532,0021700079
7533,0021700079
7534,0021700084
7535,0021700084
7536,0021700078
7537,0021700078
7538,0021700083
7539,0021700083
7540,0021700082
7541,0021700082
7542,0021700081
7543,0021700081
7544,0021700080
7545,0021700080
7546,0021700077
7547,0021700077
7548,0021700091
7549,0021700091
7550,0021700087
7551,0021700087
7552,0021700090
7553,0021700090
7554,0021700085
7555,0021700085
7556,0021700086
7557,0021700086
7558,0021700089
7559,0021700089
7560,0021700088
7561,0021700088
7562,0021700094
7563,0021700094
7564,0021700092
7565,0021700092
7566,0021700100
7567,0021700100
7568,0021700095
7569,0021700095
7570,0021700093
7571,0021700093
7572,0021700099
7573,0021700099
7574,0021700098
7575,0021700098
7576,0021700096
7577,0021700096
7578,0021700097
7579,0021700097
7580,0021700104
7581,0021700104
7582,0021700102
7583,0021700102
7584,0021700103
7585,0021700103
7586,0021700101
7587,0021700101
7588,0021700107
7589,0021700107
7590,0021700111
7591,0021700111
7592,0021700109
7593,0021700109
7594,0021700116
7595,0021700116
7596,0021700106
7597,0021700106
7598,0021700110
7599,0021700110
7600,0021700115
7601,0021700115
7602,0021700114
7603,0021700114
7604,0021700105
7605,0021700105
7606,0021700108
7607,0021700108
7608,0021700112
7609,0021700112
7610,0021700113
7611,0021700113
7612,0021700117
7613,0021700117
7614,0021700118
7615,0021700118
7616,0021700121
7617,0021700121
7618,0021700126
7619,0021700126
7620,0021700130
7621,0021700130
7622,0021700124
7623,0021700124
7624,0021700120
7625,0021700120
7626,0021700119
7627,0021700119
7628,0021700128
7629,0021700128
7630,0021700123
7631,0021700123
7632,0021700125
7633,0021700125
7634,0021700127
7635,0021700127
7636,0021700122
7637,0021700122
7638,0021700129
7639,0021700129
7640,0021700133
7641,0021700133
7642,0021700131
7643,0021700131
7644,0021700132
7645,0021700132
7646,0021700135
7647,0021700135
7648,0021700134
7649,0021700134
7650,0021700141
7651,0021700141
7652,0021700145
7653,0021700145
7654,0021700142
7655,0021700142
7656,0021700137
7657,0021700137
7658,0021700138
7659,0021700138
7660,0021700140
7661,0021700140
7662,0021700136
7663,0021700136
7664,0021700144
7665,0021700144
7666,0021700143
7667,0021700143
7668,0021700139
7669,0021700139
7670,0021700148
7671,0021700148
7672,0021700147
7673,0021700147
7674,0021700146
7675,0021700146
7676,0021700154
7677,0021700154
7678,0021700152
7679,0021700152
7680,0021700149
7681,0021700149
7682,0021700157
7683,0021700157
7684,0021700156
7685,0021700156
7686,0021700150
7687,0021700150
7688,0021700158
7689,0021700158
7690,0021700155
7691,0021700155
7692,0021700151
7693,0021700151
7694,0021700153
7695,0021700153
7696,0021700163
7697,0021700163
7698,0021700162
7699,0021700162
7700,0021700161
7701,0021700161
7702,0021700160
7703,0021700160
7704,0021700159
7705,0021700159
7706,0021700166
7707,0021700166
7708,0021700167
7709,0021700167
7710,0021700168
7711,0021700168
7712,0021700164
7713,0021700164
7714,0021700165
7715,0021700165
7716,0021700173
7717,0021700173
7718,0021700171
7719,0021700171
7720,0021700174
7721,0021700174
7722,0021700170
7723,0021700170
7724,0021700169
7725,0021700169
7726,0021700176
7727,0021700176
7728,0021700175
7729,0021700175
7730,0021700172
7731,0021700172
7732,0021700184
7733,0021700184
7734,0021700183
7735,0021700183
7736,0021700179
7737,0021700179
7738,0021700186
7739,0021700186
7740,0021700180
7741,0021700180
7742,0021700182
7743,0021700182
7744,0021700187
7745,0021700187
7746,0021700181
7747,0021700181
7748,0021700185
7749,0021700185
7750,0021700177
7751,0021700177
7752,0021700178
7753,0021700178
7754,0021700188
7755,0021700188
7756,0021700189
7757,0021700189
7758,0021700190
7759,0021700190
7760,0021700191
7761,0021700191
7762,0021700199
7763,0021700199
7764,0021700193
7765,0021700193
7766,0021700196
7767,0021700196
7768,0021700200
7769,0021700200
7770,0021700198
7771,0021700198
7772,0021700194
7773,0021700194
7774,0021700197
7775,0021700197
7776,0021700192
7777,0021700192
7778,0021700195
7779,0021700195
7780,0021700201
7781,0021700201
7782,0021700202
7783,0021700202
7784,0021700203
7785,0021700203
7786,0021700211
7787,0021700211
7788,0021700214
7789,0021700214
7790,0021700206
7791,0021700206
7792,0021700205
7793,0021700205
7794,0021700213
7795,0021700213
7796,0021700209
7797,0021700209
7798,0021700204
7799,0021700204
7800,0021700207
7801,0021700207
7802,0021700210
7803,0021700210
7804,0021700212
7805,0021700212
7806,0021700208
7807,0021700208
7808,0021700216
7809,0021700216
7810,0021700215
7811,0021700215
7812,0021700223
7813,0021700223
7814,0021700227
7815,0021700227
7816,0021700222
7817,0021700222
7818,0021700219
7819,0021700219
7820,0021700220
7821,0021700220
7822,0021700217
7823,0021700217
7824,0021700224
7825,0021700224
7826,0021700225
7827,0021700225
7828,0021700226
7829,0021700226
7830,0021700218
7831,0021700218
7832,0021700221
7833,0021700221
7834,0021700231
7835,0021700231
7836,0021700229
7837,0021700229
7838,0021700234
7839,0021700234
7840,0021700230
7841,0021700230
7842,0021700233
7843,0021700233
7844,0021700228
7845,0021700228
7846,0021700232
7847,0021700232
7848,0021700240
7849,0021700240
7850,0021700239
7851,0021700239
7852,0021700236
7853,0021700236
7854,0021700235
7855,0021700235
7856,0021700238
7857,0021700238
7858,0021700237
7859,0021700237
7860,0021700244
7861,0021700244
7862,0021700250
7863,0021700250
7864,0021700245
7865,0021700245
7866,0021700243
7867,0021700243
7868,0021700242
7869,0021700242
7870,0021700247
7871,0021700247
7872,0021700249
7873,0021700249
7874,0021700251
7875,0021700251
7876,0021700241
7877,0021700241
7878,0021700246
7879,0021700246
7880,0021700248
7881,0021700248
7882,0021700252
7883,0021700252
7884,0021700255
7885,0021700255
7886,0021700258
7887,0021700258
7888,0021700264
7889,0021700264
7890,0021700259
7891,0021700259
7892,0021700254
7893,0021700254
7894,0021700257
7895,0021700257
7896,0021700265
7897,0021700265
7898,0021700256
7899,0021700256
7900,0021700266
7901,0021700266
7902,0021700261
7903,0021700261
7904,0021700253
7905,0021700253
7906,0021700263
7907,0021700263
7908,0021700260
7909,0021700260
7910,0021700262
7911,0021700262
7912,0021700276
7913,0021700276
7914,0021700275
7915,0021700275
7916,0021700267
7917,0021700267
7918,0021700269
7919,0021700269
7920,0021700270
7921,0021700270
7922,0021700271
7923,0021700271
7924,0021700268
7925,0021700268
7926,0021700274
7927,0021700274
7928,0021700272
7929,0021700272
