LeBron James;30963450;34904635
DeMar DeRozan;26540100;29918259
Russell Westbrook;26540100;29918259
Mike Conley;26540100;29918259
James Harden;26540100;29918259
Kevin Durant;26540100;29918259
Al Horford;26540100;29918259
Dirk Nowitzki;25000000;28182127
Carmelo Anthony;24559380;27685423
Damian Lillard;24328425;27425070
Chris Bosh;23741060;26762943
Dwight Howard;23500000;26491199
Dwyane Wade;23200000;26153014
Chris Paul;22868827;25779687
Bradley Beal;22116750;24931882
Anthony Davis;22116750;24931882
Hassan Whiteside;22116750;24931882
Chandler Parsons;22116750;24931882
Andre Drummond;22116750;24931882
Harrison Barnes;22116750;24931882
Derrick Rose;21323252;24037384
Marc Gasol;21165675;23859750
DeAndre Jordan;21165675;23859750
Kevin Love;21165675;23859750
Brook Lopez;21165675;23859750
Nicolas Batum;20869566;23525950
LaMarcus Aldridge;20575005;23193896
Blake Griffin;20093064;22650611
Paul Millsap;20072033;22626903
Ryan Anderson;18735364;21120096
Allen Crabbe;18500000;20854774
Paul George;18100000;20403860
Luol Deng;18000000;20291131
Kawhi Leonard;17638063;19883125
Kyrie Irving;17638063;19883125
Jimmy Butler;17552209;19786343
Tobias Harris;17200000;19389303
Enes Kanter;17145838;19328247
Greg Monroe;17145838;19328247
Wesley Matthews;17145838;19328247
Bismack Biyombo;17000000;19163846
Evan Fournier;17000000;19163846
Joakim Noah;17000000;19163846
Klay Thompson;16663575;18784599
Evan Turner;16393443;18480084
Gordon Hayward;16073140;18119011
Ian Mahinmi;16000000;18036561
Timofey Mozgov;16000000;18036561
Goran Dragic;15891725;17914504
John Wall;15756438;17761997
DeMarcus Cousins;15756438;17761997
Kent Bazemore;15730337;17732574
Pau Gasol;15500000;17472919
Draymond Green;15330435;17281770
Tristan Thompson;15330435;17281770
Khris Middleton;15200000;17134733
Danilo Gallinari;15050000;16965640
Jeff Green;15000000;16909276
Reggie Jackson;14956522;16860264
Deron Williams;14885520;16780223
Tony Parker;14445313;16283986
Jonas Valanciunas;14382023;16212640
DeMarre Carroll;14200000;16007448
Manu Ginobili;14000000;15781991
Eric Bledsoe;14000000;15781991
Rajon Rondo;14000000;15781991
Ricky Rubio;13400000;15105620
Rudy Gay;13333333;15030467
Jamal Crawford;13253012;14939922
Robin Lopez;13219250;14901863
Michael Kidd-Gilchrist;13000000;14654706
JR Smith;12800000;14429249
Brandon Knight;12606250;14210837
Arron Afflalo;12500000;14091063
Jordan Clarkson;12500000;14091063
Tyson Chandler;12415000;13995244
Miles Plumlee;12400000;13978335
Eric Gordon;12385665;13962175
John Henson;12267606;13829089
Serge Ibaka;12250000;13809242
