,id,full_name,first_name,last_name,is_active,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Player_Image_URL,Image_URL
0,203500,Steven Adams,Steven,Adams,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1628389,Bam Adebayo,Bam,Adebayo,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,200746,LaMarcus Aldridge,LaMarcus,Aldridge,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1629734,Kyle Alexander,Kyle,Alexander,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1628960,Grayson Allen,Grayson,Allen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1628386,Jarrett Allen,Jarrett,Allen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1628443,Kadeem Allen,Kadeem,Allen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,202329,Al-Farouq Aminu,Al-Farouq,Aminu,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1626147,Justin Anderson,Justin,Anderson,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,203937,Kyle Anderson,Kyle,Anderson,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,201583,Ryan Anderson,Ryan,Anderson,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2546,Carmelo Anthony,Carmelo,Anthony,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1628384,OG Anunoby,OG,Anunoby,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1627853,Ryan Arcidiacono,Ryan,Arcidiacono,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2772,Trevor Ariza,Trevor,Ariza,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,201571,D.J. Augustin,D.J.,Augustin,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1629028,Deandre Ayton,Deandre,Ayton,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1628407,Dwayne Bacon,Dwayne,Bacon,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1628963,Marvin Bagley III,Marvin,Bagley III,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1628366,Lonzo Ball,Lonzo,Ball,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1628964,Mo Bamba,Mo,Bamba,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,200826,J.J. Barea,J.J.,Barea,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,203084,Harrison Barnes,Harrison,Barnes,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1629628,RJ Barrett,RJ,Barrett,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,203115,Will Barton,Will,Barton,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1628966,Keita Bates-Diop,Keita,Bates-Diop,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,201587,Nicolas Batum,Nicolas,Batum,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,203382,Aron Baynes,Aron,Baynes,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,203145,Kent Bazemore,Kent,Bazemore,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1629647,Darius Bazley,Darius,Bazley,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,203078,Bradley Beal,Bradley,Beal,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1627736,Malik Beasley,Malik,Beasley,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,201158,Marco Belinelli,Marco,Belinelli,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1628395,Jordan Bell,Jordan,Bell,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1627761,DeAndre' Bembry,DeAndre',Bembry,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1627733,Dragan Bender,Dragan,Bender,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,202722,Davis Bertans,Davis,Bertans,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,201976,Patrick Beverley,Patrick,Beverley,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,203920,Khem Birch,Khem,Birch,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1629048,Goga Bitadze,Goga,Bitadze,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,202687,Bismack Biyombo,Bismack,Biyombo,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,202357,Nemanja Bjelica,Nemanja,Bjelica,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,202339,Eric Bledsoe,Eric,Bledsoe,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,203992,Bogdan Bogdanovic,Bogdan,Bogdanovic,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,202711,Bojan Bogdanovic,Bojan,Bogdanovic,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1629626,Bol Bol,Bol,Bol,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1628413,Jonah Bolden,Jonah,Bolden,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1629648,Jordan Bone,Jordan,Bone,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1629067,Isaac Bonga,Isaac,Bonga,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1626164,Devin Booker,Devin,Booker,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1628449,Chris Boucher,Chris,Boucher,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1628968,Brian Bowen II,Brian,Bowen II,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
