player,total,inside,outside,playmaking,athleticism,defending,rebounding
Stephen Curry,92,76,91,90,85,75,60
James Harden,92,85,85,85,86,71,63
John Wall,83,70,74,85,87,78,44
Russell Westbrook,87,80,72,85,91,80,69
LeBron James,93,84,74,88,85,84,72
Kevin Durant,92,83,88,79,76,76,62
Paul George,89,78,80,77,79,87,60
Kawhi Leonard,93,79,82,78,80,87,62
Giannis Antetokounmpo,93,81,75,80,84,82,87
Damian Lillard,91,78,88,90,86,70,51
Klay Thompson,88,78,88,70,73,85,50
Jimmy Butler,90,75,80,78,79,82,60
Tobias Harris,84,77,80,68,70,60,62
Khris Middleton,86,71,89,73,69,73,59
Anthony Davis,93,87,75,63,84,89,78
Kyrie Irving,90,77,88,89,85,71,50
Kemba Walker,85,63,86,85,84,69,47
Rudy Gobert,86,73,54,43,66,86,88
Bradley Beal,86,78,81,79,79,67,50
Ben Simmons,88,78,52,78,84,81,63
Pascal Siakam,86,79,74,66,78,78,71
Jrue Holiday,83,71,67,76,77,84,48
Blake Griffin,82,78,59,70,83,67,57
Kristaps Porzingis,85,83,78,49,73,76,83
Karl-Anthony Towns,87,86,81,66,82,71,84
Devin Booker,86,80,83,82,79,64,51
Nikola Jokic,90,91,86,79,77,71,86
Andrew Wiggins,82,72,70,70,81,65,50
Joel Embiid,90,89,78,54,79,82,90
Kevin Love,82,79,87,57,71,64,80
CJ McCollum,83,69,85,76,80,61,44
Chris Paul,87,75,87,87,78,84,56
D'Angelo Russell,83,72,85,83,78,66,47
Gordon Hayward,82,69,83,73,74,67,58
Jamal Murray,84,79,83,82,80,65,46
Brandon Ingram,85,76,79,73,72,67,62
Jayson Tatum,87,69,82,71,73,76,70
Bam Adebayo,85,84,66,68,79,78,80
De'Aaron Fox,83,71,73,85,90,72,49
Donovan Mitchell,87,77,86,79,89,78,53
Al Horford,81,76,82,64,73,80,64
Kyle Lowry,84,67,78,85,83,83,53
Jaylen Brown,83,77,82,68,77,80,61
DeMar DeRozan,85,78,78,78,79,67,55
Draymond Green,80,64,68,76,76,81,64
Nikola Vucevic,83,84,79,60,72,64,86
Buddy Hield,81,69,82,73,74,65,53
John Collins,84,80,80,47,71,68,77
Julius Randle,80,77,72,62,77,63,78
Malcolm Brogdon,81,66,85,84,76,73,52
Tim Hardaway Jr,78,68,82,63,68,61,43
Mike Conley,78,63,79,78,79,75,44
Gary Harris,77,57,80,61,70,78,41
Danilo Gallinari,82,74,81,64,66,61,58
Harrison Barnes,79,69,74,62,76,66,50
Jerami Grant,77,63,74,51,69,70,55
Jarrett Allen,80,71,52,32,78,74,82
Fred VanVleet,81,64,79,82,79,73,43
Zach LaVine,83,69,76,80,83,66,56
Goran Dragic,79,70,79,80,75,66,46
Bojan Bogdanovic,80,62,74,60,66,57,57
Lonzo Ball,78,61,64,82,80,78,57
Clint Capela,82,68,51,36,74,77,87
Domantas Sabonis,83,78,77,65,66,57,83
Eric Gordon,78,63,71,63,76,65,36
Eric Bledsoe,82,67,78,79,82,81,51
Bogdan Bogdanovic,79,76,84,71,72,61,46
Myles Turner,78,80,72,34,67,78,71
Terry Rozier,77,70,75,80,78,68,47
Ricky Rubio,79,61,77,83,73,73,52
Caris LeVert,80,73,76,75,74,69,47
Jonathan Isaac,82,65,75,56,74,80,66
Joe Harris,76,50,84,53,62,54,47
Evan Fournier,80,71,81,72,69,61,40
Spencer Dinwiddie,82,70,72,84,78,66,50
Steven Adams,82,75,55,51,67,79,82
Markelle Fultz,78,76,73,82,81,70,46
Aaron Gordon,81,71,61,63,74,69,69
OG Anunoby,79,57,75,54,76,78,56
Gary Trent Jr,76,66,81,54,81,64,39
Davis Bertans,79,64,80,47,61,60,55
Lauri Markkanen,80,71,71,50,62,59,65
Derrick White,80,70,79,79,85,71,48
Duncan Robinson,77,66,79,61,62,55,43
Marcus Morris,79,64,85,52,69,63,57
Will Barton,79,60,83,70,69,65,59
Norman Powell,78,70,79,57,78,70,46
Dejounte Murray,80,70,83,78,77,82,66
Malik Beasley,77,67,81,61,73,64,46
Marcus Smart,81,66,70,67,76,85,45
Patrick Beverley,78,64,60,74,77,82,60
Thaddeus Young,77,73,66,55,71,72,62
Jonas Valanciunas,81,80,74,38,71,68,86
Doug McDermott,76,73,69,59,58,55,53
Christian Wood,79,69,77,40,60,66,80
Derrick Rose,81,77,77,84,82,66,42
Brook Lopez,79,80,74,36,62,78,54
Kentavious Caldwell-Pope,76,61,80,62,73,63,38
Joe Ingles,78,60,75,69,63,72,57
Kyle Kuzma,76,71,71,58,72,64,64
Taurean Prince,74,57,73,57,70,62,57
Robert Covington,79,67,73,59,66,81,64
TJ Warren,83,72,85,57,64,58,46
Luke Kennard,78,66,80,73,68,53,44
Deandre Ayton,83,82,68,51,78,72,86
Terrence Ross,77,75,78,65,72,64,47
Jordan Clarkson,78,74,72,72,78,60,44
Dillon Brooks,77,70,79,60,71,67,44
Kelly Olynyk,77,76,77,50,58,65,71
Nicolas Batum,74,63,70,69,65,67,60
Josh Hart,76,63,69,62,73,63,69
Kelly Oubre,80,59,84,59,75,61,58
Jusuf Nurkic,82,77,71,50,66,71,85
Josh Richardson,79,66,84,67,78,77,44
Marvin Bagley,80,79,74,47,78,65,79
Dwight Powell,76,72,65,48,71,65,74
Devonte Graham,79,61,75,83,79,65,43
Zion Williamson,84,77,67,65,86,68,68
Larry Nance Jr,79,67,79,57,70,65,74
DeAndre Jordan,80,64,32,36,77,75,88
Jeremy Lamb,77,75,77,65,70,65,53
Reggie Jackson,77,68,76,80,81,67,48
Richaun Holmes,78,74,71,42,66,67,78
Anthony Edwards,77,74,78,65,88,77,58
Luka Doncic,90,84,80,86,81,69,78
Danny Green,76,68,71,58,67,80,48
Tomas Satoransky,76,67,77,76,73,69,49
Kyle Anderson,77,61,73,69,63,66,62
Derrick Favors,78,77,68,43,72,68,86
Jae Crowder,77,64,76,61,75,70,60
Derrick Jones,77,67,67,56,75,62,57
Serge Ibaka,79,80,77,35,69,73,76
Tristan Thompson,80,72,67,38,68,71,82
Montrezl Harrell,82,82,54,44,77,72,69
Ja Morant,83,75,78,83,87,73,50
Reggie Bullock,72,59,77,62,64,57,43
Alec Burks,77,69,75,70,75,64,55
Talen Horton-Tucker,72,61,74,65,64,70,47
Mason Plumlee,78,71,67,60,67,68,80
Jaren Jackson Jr,82,73,78,50,70,78,55
James Wiseman,77,76,63,51,72,73,82
Maxi Kleber,78,75,77,53,61,66,58
De'Anthony Melton,77,70,66,73,72,77,57
Nerlens Noel,76,69,59,37,65,76,76
Royce O'Neale,75,63,71,56,62,69,56
Jakob Poeltl,76,74,65,53,62,66,79
Thomas Bryant,77,74,81,45,70,64,77
RJ Barrett,75,67,66,71,81,66,54
Alex Caruso,75,54,65,67,78,72,44
Delon Wright,76,65,68,80,70,69,56
Dario Saric,78,67,82,60,65,60,65
Monte Morris,77,64,83,83,78,60,39
Tyus Jones,76,67,78,77,70,64,39
Trae Young,87,73,87,87,82,60,52
Daniel Theis,77,73,76,56,73,70,74
LaMelo Ball,77,71,73,83,83,72,59
Seth Curry,79,68,88,66,75,51,41
JaMychal Green,73,63,69,41,66,63,74
Cedi Osman,76,61,74,63,68,65,47
De'Andre Hunter,76,60,77,56,74,71,50
Mo Bamba,77,63,67,37,71,75,82
Ivica Zubac,78,71,61,49,57,65,85
TJ McConnell,76,72,77,80,70,65,49
Rajon Rondo,77,63,73,82,78,74,49
Patrick Williams,75,59,78,55,72,74,50
Cory Joseph,73,63,73,77,70,69,44
Darius Garland,74,70,73,77,84,65,35
Chris Boucher,77,69,67,35,66,67,81
PJ Tucker,75,67,75,55,76,74,64
Zach Collins,75,72,59,40,65,65,52
DJ Augustin,75,60,80,79,78,54,40
Wendell Carter,78,73,71,47,70,72,80
Juan Hernangomez,74,56,69,49,63,60,67
Isaac Okoro,75,65,68,66,77,71,60
Cameron Payne,73,63,76,73,73,55,43
Jarrett Culver,75,59,69,63,78,67,48
Khem Birch,71,58,46,30,71,68,72
Collin Sexton,80,68,81,76,84,66,41
Onyeka Okongwu,76,64,65,48,75,81,76
Justin Holiday,76,53,76,57,63,67,47
Patrick Mills,77,65,79,76,80,61,37
Rudy Gay,79,75,82,62,71,64,68
Dennis Schroeder,80,69,81,82,82,64,45
Kevin Knox,72,60,67,60,74,64,53
Coby White,76,64,74,77,83,65,54
Killian Hayes,74,71,76,82,76,69,41
Mikal Bridges,78,57,77,60,76,70,51
Shai Gilgeous-Alexander,83,79,84,79,79,72,60
Miles Bridges,78,68,76,59,73,60,58
Jaxson Hayes,76,69,63,34,70,72,70
Pat Connaughton,73,69,68,58,75,60,61
George Hill,78,60,80,77,76,70,50
Michael Porter,80,66,79,59,77,62,73
Dewayne Dedmon,0,0,0,0,0,0,0
Hamidou Diallo,71,59,61,56,81,65,56
Kevon Looney,74,63,63,51,67,65,72
Troy Brown,77,63,72,66,68,65,64
Obi Toppin,76,71,76,52,76,62,63
Josh Jackson,74,64,72,55,75,68,53
Kendrick Nunn,77,71,83,75,74,58,43
Louis Williams,80,70,79,79,80,64,52
Robin Lopez,73,77,70,33,57,68,51
JaVale McGee,78,71,58,30,69,75,83
Rui Hachimura,79,76,80,52,80,58,64
Garrett Temple,73,63,72,64,60,69,45
Taj Gibson,0,0,0,0,0,0,0
Torrey Craig,74,55,64,49,62,73,57
Bruce Brown,76,65,74,73,76,70,56
Deni Avdija,75,65,74,69,75,63,65
Donte DiVincenzo,79,61,78,69,84,76,58
Cam Reddish,74,59,70,60,76,66,49
David Nwaba,75,58,73,50,71,71,53
Furkan Korkmaz,77,62,77,52,68,55,44
Ishmael Smith,76,65,76,81,82,65,47
Jeff Green,76,72,74,56,69,66,50
Bryn Forbes,74,66,80,59,66,56,39
Chandler Hutchison,76,60,70,56,72,62,66
Jalen Smith,73,71,74,35,63,69,71
Lonnie Walker,74,59,75,60,87,68,51
Cameron Johnson,74,61,76,49,67,54,49
Bobby Portis,79,78,75,47,66,62,68
Moe Harkless,73,59,64,52,70,66,53
Kevin Huerter,75,68,75,70,77,62,48
Devin Vassell,74,58,72,57,73,70,57
PJ Washington,77,67,74,58,70,61,57
Willie Cauley-Stein,77,71,44,47,73,73,76
Josh Okogie,75,50,66,60,82,69,54
Grayson Allen,74,65,76,62,76,64,47
Jarred Vanderbilt,71,52,56,51,70,63,67
Tyrese Haliburton,74,66,72,80,79,74,60
Tyler Herro,78,71,80,67,74,61,51
Terence Davis,78,65,75,71,72,70,58
Gorgui Dieng,75,68,74,36,64,69,79
Dorian Finney-Smith,75,58,73,51,66,68,55
Aaron Holiday,74,63,74,78,74,65,42
Jake Layman,74,56,75,52,67,60,44
Anfernee Simons,73,65,77,65,80,58,42
Justise Winslow,77,61,69,70,73,71,60
Danuel House,75,61,73,55,63,57,48
Kira Lewis,73,61,73,78,89,68,45
Romeo Langford,70,64,67,58,80,62,43
Landry Shamet,74,63,73,65,81,55,36
Alex Len,77,73,62,33,63,71,81
Gabriel Deck,0,0,0,0,0,0,0
Robert Williams,75,66,43,40,73,75,80
Jevon Carter,72,58,74,65,75,74,47
Aaron Nesmith,72,56,76,59,64,57,42
Boban Marjanovic,75,68,67,40,52,62,86
Mike Muscala,73,70,78,46,61,60,58
Cole Anthony,72,68,79,74,83,69,57
Luka Samanic,73,65,67,56,68,59,61
Georges Niang,74,69,76,52,55,57,49
Michael Carter-Williams,75,75,59,76,72,73,56
Isaiah Stewart,72,72,64,39,74,68,72
Chuma Okeke,72,57,72,56,71,78,65
Nickeil Alexander-Walker,73,59,71,72,72,67,53
Facundo Campazzo,73,58,76,81,72,70,42
Trey Burke,76,64,79,77,76,60,43
Aleksej Pokusevski,72,63,75,54,58,67,65
Goga Bitadze,73,70,73,48,67,60,69
Sterling Brown,71,56,66,58,66,58,63
Frank Jackson,0,0,0,0,0,0,0
