PLAYER_ID,NAME,POS
202695,Kawhi Leonard,F
202694,Marcus Morris Sr.,F
1627826,Ivica Zubac,C
202331,Paul George,F
201976,Patrick Beverley,G
202704,Reggie Jackson,G
201587,Nicolas Batum,G
201586,Serge Ibaka,F
200765,Rajon Rondo,G
1629611,Terance Mann,G
1629599,Amir Coffey,G
202326,DeMarcus Cousins,C
1627812,Yogi Ferrell,G
1628379,Luke Kennard,G
202335,Patrick Patterson,F
203114,Khris Middleton,F
203507,Giannis Antetokounmpo,F
201572,Brook Lopez,C
1628978,Donte DiVincenzo,G
201950,Jrue Holiday,G
1627854,Bryn Forbes,G
200782,P.J. Tucker,F
1626171,Bobby Portis,F
1626192,Pat Connaughton,G
1629091,Elijah Bryant,G
1629603,Mamadi Diakite,F
1630241,Sam Merrill,G
1629670,Jordan Nwora,F
201952,Jeff Teague,G
1626253,Axel Toupane,G
1628381,John Collins,F
1629631,De'Andre Hunter,F
203991,Clint Capela,C
203992,Bogdan Bogdanovic,G
1629027,Trae Young,G
201568,Danilo Gallinari,F
1628989,Kevin Huerter,G
203503,Tony Snell,G
101150,Lou Williams,G
1630168,Onyeka Okongwu,F
1627739,Kris Dunn,G
1628981,Bruno Fernando,F
203524,Solomon Hill,F
1630233,Nathan Knight,F
1630219,Skylar Mays,G
1628969,Mikal Bridges,F
203109,Jae Crowder,F
1629028,Deandre Ayton,C
1626164,Devin Booker,G
101108,Chris Paul,G
1629661,Cameron Johnson,F
1626166,Cameron Payne,G
1628470,Torrey Craig,F
203967,Dario Saric,F
202734,E'Twaun Moore,G
1630234,Ty-Shon Alexander,G
1628975,Jevon Carter,G
204038,Langston Galloway,G
1626163,Frank Kaminsky,F
1630188,Jalen Smith,F
1630187,Daniel Oturu,C
1628382,Justin Jackson,F
203648,Thanasis Antetokounmpo,F
1630206,Jay Scrubb,G
1629629,Cam Reddish,F
1627846,Abdel Nader,F
202330,Gordon Hayward,F
1628369,Jayson Tatum,F
1628464,Daniel Theis,F
1627759,Jaylen Brown,G
202689,Kemba Walker,G
203935,Marcus Smart,G
202683,Enes Freedom,C
202954,Brad Wanamaker,G
1629057,Robert Williams III,C
1629684,Grant Williams,F
1629641,Romeo Langford,G
1629750,Javonte Green,G
1628400,Semi Ojeleye,F
1629008,Michael Porter Jr.,F
200794,Paul Millsap,F
203999,Nikola Jokic,C
1627750,Jamal Murray,G
1628420,Monte Morris,G
203924,Jerami Grant,F
1628408,P.J. Dozier,G
203486,Mason Plumlee,F
1628966,Keita Bates-Diop,F
1629626,Bol Bol,C
203584,Troy Daniels,G
203943,Noah Vonleh,F
2544,LeBron James,F
203076,Anthony Davis,F
201580,JaVale McGee,C
201980,Danny Green,G
203484,Kentavious Caldwell-Pope,G
1628398,Kyle Kuzma,F
202693,Markieff Morris,F
1627936,Alex Caruso,G
2730,Dwight Howard,C
203079,Dion Waiters,G
1626188,Quinn Cook,G
201162,Jared Dudley,F
2747,JR Smith,G
202710,Jimmy Butler,F
1628389,Bam Adebayo,C
1629130,Duncan Robinson,F
201609,Goran Dragic,G
1629639,Tyler Herro,G
2738,Andre Iguodala,G
1627884,Derrick Jones Jr.,F
203482,Kelly Olynyk,F
2617,Udonis Haslem,F
203086,Meyers Leonard,F
1629134,Kendrick Nunn,G
1629605,Tacko Fall,C
1629076,Tyler Cook,F
1629035,Carsen Edwards,G
203914,Gary Harris,G
1629738,Vincent Poirier,C
1629216,Gabe Vincent,G
1629682,Tremont Waters,G
1629659,Talen Horton-Tucker,G
1629735,Chris Silva,F
201142,Kevin Durant,F
203110,Draymond Green,F
202691,Klay Thompson,G
201939,Stephen Curry,G
1626172,Kevon Looney,F
1628035,Alfonzo McKinnie,F
2733,Shaun Livingston,G
101106,Andrew Bogut,C
201973,Jonas Jerebko,F
1628395,Jordan Bell,F
1627783,Pascal Siakam,F
201188,Marc Gasol,C
200768,Kyle Lowry,G
1627832,Fred VanVleet,G
1626181,Norman Powell,G
201975,Jodie Meeks,G
1628449,Chris Boucher,F
202391,Jeremy Lin,G
1626259,Malcolm Miller,G
203961,Eric Moreland,F
203090,Maurice Harkless,F
202329,Al-Farouq Aminu,F
203468,CJ McCollum,G
203081,Damian Lillard,G
202323,Evan Turner,G
203918,Rodney Hood,G
203552,Seth Curry,G
1628380,Zach Collins,F
1627746,Skal Labissiere,F
1627774,Jake Layman,F
1629014,Anfernee Simons,G
1628425,Sterling Brown,G
202339,Eric Bledsoe,G
201588,George Hill,G
101141,Ersan Ilyasova,F
202703,Nikola Mirotic,F
1628391,D.J. Wilson,F
204025,Tim Frazier,G
1627763,Malcolm Brogdon,G
1628980,Jacob Evans,G
1627775,Patrick McCaw,G
1627745,Damian Jones,C
1628384,OG Anunoby,F
2561,David West,F
201156,Nick Young,G
2585,Zaza Pachulia,C
201145,Jeff Green,F
201567,Kevin Love,F
2594,Kyle Korver,G
1626204,Larry Nance Jr.,F
101181,Jose Calderon,G
203903,Jordan Clarkson,G
1626224,Cedi Osman,F
202684,Tristan Thompson,C
1627790,Ante Zizic,C
2772,Trevor Ariza,F
201935,James Harden,G
201569,Eric Gordon,G
101123,Gerald Green,G
2403,Nene,C
2207,Joe Johnson,G
204028,Tarik Black,F
1628935,Aaron Jackson,G
1627778,Chinanu Onuaku,C
1627753,Zhou Qi,F
201143,Al Horford,C
203382,Aron Baynes,C
1626179,Terry Rozier,G
203499,Shane Larkin,G
202328,Greg Monroe,F
1627824,Guerschon Yabusele,F
201583,Ryan Anderson,F
2570,Kendrick Perkins,C
201601,Luc Mbah a Moute,F
