,GAME_ID
9840,0021800002
9841,0021800002
9842,0021800001
9843,0021800001
9844,0021800010
9845,0021800010
9846,0021800007
9847,0021800007
9848,0021800013
9849,0021800013
9850,0021800012
9851,0021800012
9852,0021800006
9853,0021800006
9854,0021800009
9855,0021800009
9856,0021800004
9857,0021800004
9858,0021800005
9859,0021800005
9860,0021800011
9861,0021800011
9862,0021800003
9863,0021800003
9864,0021800008
9865,0021800008
9866,0021800014
9867,0021800014
9868,0021800016
9869,0021800016
9870,0021800015
9871,0021800015
9872,0021800018
9873,0021800018
9874,0021800025
9875,0021800025
9876,0021800017
9877,0021800017
9878,0021800023
9879,0021800023
9880,0021800024
9881,0021800024
9882,0021800021
9883,0021800021
9884,0021800019
9885,0021800019
9886,0021800020
9887,0021800020
9888,0021800022
9889,0021800022
9890,0021800029
9891,0021800029
9892,0021800035
9893,0021800035
9894,0021800031
9895,0021800031
9896,0021800028
9897,0021800028
9898,0021800030
9899,0021800030
9900,0021800034
9901,0021800034
9902,0021800026
9903,0021800026
9904,0021800032
9905,0021800032
9906,0021800033
9907,0021800033
9908,0021800027
9909,0021800027
9910,0021800039
9911,0021800039
9912,0021800036
9913,0021800036
9914,0021800038
9915,0021800038
9916,0021800037
9917,0021800037
9918,0021800047
9919,0021800047
9920,0021800048
9921,0021800048
9922,0021800040
9923,0021800040
9924,0021800046
9925,0021800046
9926,0021800042
9927,0021800042
9928,0021800045
9929,0021800045
9930,0021800044
9931,0021800044
9932,0021800043
9933,0021800043
9934,0021800041
9935,0021800041
9936,0021800049
9937,0021800049
9938,0021800051
9939,0021800051
9940,0021800050
9941,0021800050
9942,0021800062
9943,0021800062
9944,0021800058
9945,0021800058
9946,0021800056
9947,0021800056
9948,0021800060
9949,0021800060
9950,0021800057
9951,0021800057
9952,0021800053
9953,0021800053
9954,0021800054
9955,0021800054
9956,0021800059
9957,0021800059
9958,0021800052
9959,0021800052
9960,0021800061
9961,0021800061
9962,0021800055
9963,0021800055
9964,0021800066
9965,0021800066
9966,0021800064
9967,0021800064
9968,0021800063
9969,0021800063
9970,0021800065
9971,0021800065
9972,0021800068
9973,0021800068
9974,0021800070
9975,0021800070
9976,0021800073
9977,0021800073
9978,0021800071
9979,0021800071
9980,0021800067
9981,0021800067
9982,0021800069
9983,0021800069
9984,0021800072
9985,0021800072
9986,0021800078
9987,0021800078
9988,0021800082
9989,0021800082
9990,0021800077
9991,0021800077
9992,0021800079
9993,0021800079
9994,0021800074
9995,0021800074
9996,0021800081
9997,0021800081
9998,0021800076
9999,0021800076
10000,0021800080
10001,0021800080
10002,0021800075
10003,0021800075
10004,0021800083
10005,0021800083
10006,0021800086
10007,0021800086
10008,0021800084
10009,0021800084
10010,0021800085
