,0
0,101107
1,101108
2,101133
3,101139
4,101141
5,101150
6,1626143
7,1626144
8,1626145
9,1626149
10,1626153
11,1626156
12,1626157
13,1626158
14,1626159
15,1626161
16,1626162
17,1626163
18,1626164
19,1626167
20,1626168
21,1626169
22,1626171
23,1626172
24,1626174
25,1626178
26,1626179
27,1626181
28,1626188
29,1626192
30,1626195
31,1626196
32,1626203
33,1626204
34,1626209
35,1626220
36,1626224
37,1626246
38,1626259
39,1627732
40,1627734
41,1627736
42,1627737
43,1627739
44,1627740
45,1627741
46,1627742
47,1627745
48,1627746
49,1627747
50,1627748
51,1627749
52,1627750
53,1627751
54,1627752
55,1627756
56,1627759
57,1627761
58,1627763
59,1627767
60,1627774
61,1627775
62,1627777
63,1627780
64,1627783
65,1627788
66,1627789
67,1627790
68,1627812
69,1627814
70,1627820
71,1627823
72,1627826
73,1627827
74,1627832
75,1627846
76,1627853
77,1627854
78,1627863
79,1627884
80,1627885
81,1627936
82,1627982
83,1628021
84,1628035
85,1628365
86,1628366
87,1628368
88,1628369
89,1628370
90,1628371
91,1628372
92,1628373
93,1628374
94,1628378
95,1628379
96,1628380
97,1628381
98,1628382
99,1628384
100,1628385
101,1628386
102,1628388
103,1628389
104,1628390
105,1628391
106,1628392
107,1628394
108,1628395
109,1628396
110,1628398
111,1628400
112,1628401
113,1628402
114,1628403
115,1628404
116,1628405
117,1628407
118,1628410
119,1628411
120,1628412
121,1628415
122,1628418
123,1628420
124,1628422
125,1628425
126,1628427
127,1628430
128,1628436
129,1628449
130,1628464
131,1628467
132,1628470
133,1628476
134,1628513
135,1628518
136,1628960
137,1628963
138,1628964
139,1628966
140,1628969
141,1628970
142,1628971
143,1628972
144,1628973
145,1628975
146,1628976
147,1628977
148,1628978
149,1628980
150,1628981
151,1628982
152,1628983
153,1628984
154,1628985
155,1628987
156,1628988
157,1628989
158,1628990
159,1628991
160,1628993
161,1628995
162,1628997
163,1628998
164,1629001
165,1629002
166,1629003
167,1629004
168,1629006
169,1629008
170,1629010
171,1629011
172,1629012
173,1629013
174,1629014
175,1629016
176,1629018
177,1629019
178,1629020
179,1629021
180,1629022
181,1629023
182,1629026
183,1629027
184,1629028
185,1629029
186,1629033
187,1629035
188,1629048
189,1629052
190,1629056
191,1629057
192,1629058
193,1629059
194,1629060
195,1629065
196,1629066
197,1629067
198,1629076
199,1629103
200,1629109
201,1629117
202,1629126
203,1629130
204,1629134
205,1629139
206,1629140
207,1629151
208,1629162
209,1629164
210,1629185
211,1629234
212,1629346
213,1629597
214,1629598
215,1629605
216,1629611
217,1629620
218,1629622
219,1629628
220,1629629
221,1629630
222,1629631
223,1629632
224,1629633
225,1629634
226,1629635
227,1629636
228,1629637
229,1629638
230,1629639
231,1629641
232,1629642
233,1629645
234,1629647
235,1629648
236,1629649
237,1629650
238,1629651
239,1629652
240,1629655
241,1629658
242,1629660
243,1629661
244,1629662
245,1629663
246,1629667
247,1629669
248,1629671
249,1629672
250,1629673
251,1629675
252,1629678
253,1629680
254,1629682
255,1629684
256,1629713
257,1629726
258,1629735
259,1629738
260,1629740
261,1629741
262,1629742
263,1629744
264,1629750
265,1713
266,200746
267,200752
268,200755
269,200757
270,200765
271,200768
272,200782
273,200794
274,200826
275,201143
276,201144
277,201145
278,201152
279,201158
280,201162
281,201163
282,201188
283,201229
284,201565
285,201566
286,201567
287,201568
288,201569
289,201571
290,201572
291,201577
292,201580
293,201584
294,201586
295,201587
296,201588
297,201599
298,201609
299,201933
300,201935
301,201937
302,201939
303,201942
304,201949
305,201950
306,201952
307,201959
308,201960
309,201961
310,201976
311,201980
312,201988
313,202066
314,202083
315,202323
316,202324
317,202329
318,202330
319,202331
320,202334
321,202335
322,202339
323,202340
324,202355
325,202357
326,202397
327,202681
328,202683
329,202684
330,202685
331,202687
332,202688
333,202689
334,202692
335,202693
336,202694
337,202695
338,202696
339,202697
340,202699
341,202704
342,202709
343,202710
344,202711
345,202718
346,202722
347,202734
348,202738
349,202954
350,203076
351,203077
352,203078
353,203081
354,203082
355,203083
356,203084
357,203085
358,203086
359,203087
360,203089
361,203090
362,203095
363,203107
364,203109
365,203110
366,203114
367,203115
368,203118
369,203124
370,203145
371,203200
372,203210
373,203382
374,203457
375,203458
376,203459
377,203463
378,203468
379,203469
380,203471
381,203473
382,203476
383,203482
384,203484
385,203486
386,203487
387,203488
388,203490
389,203496
390,203497
391,203500
392,203501
393,203503
394,203504
395,203507
396,203516
397,203521
398,203524
399,203526
400,203552
401,203584
402,203585
403,203648
404,203658
405,203705
406,203894
407,203895
408,203897
409,203901
410,203903
411,203914
412,203915
413,203918
414,203920
415,203922
416,203924
417,203925
418,203926
419,203932
420,203933
421,203935
422,203937
423,203939
424,203943
425,203944
426,203952
427,203953
428,203954
429,203957
430,203960
431,203967
432,203991
433,203992
434,203998
435,203999
436,204001
437,204020
438,204025
439,204038
440,204060
441,204456
442,2199
443,2544
444,2546
445,2594
446,2730
447,2772
