Stephen Curry;34682550;38468739
LeBron James;33285709;36919409
Paul Millsap;30769231;34128215
Gordon Hayward;29727900;32973205
Blake Griffin;29512900;32734734
Kyle Lowry;28903704;32059034
Mike Conley;28530608;31645208
Russell Westbrook;28299399;31388759
James Harden;28299399;31388759
DeMar DeRozan;27739975;30768264
Al Horford;27734405;30762086
Carmelo Anthony;26243760;29108712
Damian Lillard;26153057;29008107
Jrue Holiday;25686667;28490803
Chris Bosh;25289390;28050156
Kevin Durant;25000000;27729174
Otto Porter;24773250;27477671
Chris Paul;24268959;26918328
CJ McCollum;23962573;26578494
Bradley Beal;23775506;26371006
Anthony Davis;23775506;26371006
Hassan Whiteside;23775506;26371006
Andre Drummond;23775506;26371006
Dwight Howard;23500000;26065424
Chandler Parsons;23112004;25635071
Harrison Barnes;23112004;25635071
JJ Redick;23000000;25510840
Marc Gasol;22642350;25114147
Brook Lopez;22642350;25114147
DeAndre Jordan;22642350;25114147
Kevin Love;22642350;25114147
Steven Adams;22471911;24925101
Giannis Antetokounmpo;22471911;24925101
Nicolas Batum;22434783;24883920
LaMarcus Aldridge;21461010;23803843
Greg Monroe;21384175;23718620
Rudy Gobert;21224719;23541757
Victor Oladipo;21000000;23292506
Danilo Gallinari;20559599;22804028
Serge Ibaka;20061729;22251807
George Hill;20000000;22183339
Ryan Anderson;19578455;21715775
Paul George;19300000;21406922
Jeff Teague;19000000;21074172
Kyrie Irving;18868626;20928457
Kawhi Leonard;18868625;20928455
Jimmy Butler;18696918;20738004
Allen Crabbe;18500000;20519589
John Wall;18063850;20035826
DeMarcus Cousins;18063850;20035826
Enes Kanter;17884176;19836537
Wesley Matthews;17884175;19836536
Dwyane Wade;17878652;19830409
Klay Thompson;17826150;19772177
Joakim Noah;17765000;19704351
Kentavious Caldwell-Pope;17745894;19683159
Luol Deng;17190000;19066580
Evan Turner;17131148;19001303
Goran Dragic;17000450;18856337
Evan Fournier;17000000;18855838
Bismack Biyombo;17000000;18855838
Kent Bazemore;16910112;18756138
Robert Covington;16698103;18520984
Tim Hardaway Jr;16500000;18301255
Draymond Green;16400000;18190338
Tristan Thompson;16400000;18190338
Ian Mahinmi;16000000;17746671
Pau Gasol;16000000;17746671
Tobias Harris;16000000;17746671
Reggie Jackson;16000000;17746671
Dennis Schroeder;15500000;17192088
Jonas Valanciunas;15460675;17148470
Tony Parker;15453126;17140097
Timofey Mozgov;15280000;16948071
Jamal Crawford;15270762;16937824
Andre Iguodala;14814815;16432103
DeMarre Carroll;14800000;16415671
Eric Bledsoe;14500000;16082921
Gorgui Dieng;14112360;15652963
Ricky Rubio;14100000;15639254
Khris Middleton;14100000;15639254
Mason Plumlee;14041096;15573920
