,PLAYER_ID,SCORE,id,player_names,position,team
269,1630466,15.663170231722784,1630466,Gabriel Deck,F,OKC
214,1629833,9.438171160256978,1629833,Keljin Blevins,G,POR
256,1630218,7.959950515624939,1630218,Robert Woodard,F,SAC
161,1629620,7.854626284564323,1629620,Justin Robinson,G,OKC
98,1628962,5.009825430146352,1628962,Udoka Azubuike,C,UTA
237,1630186,4.946568076298278,1630186,Jahmi'us Ramsey,G,SAC
234,1630182,4.36986841338728,1630182,Josh Green,G,DAL
239,1630190,3.8388393260598064,1630190,Elijah Hughes,G,UTA
223,1630170,2.8526380679736887,1630170,Devin Vassell,G,SAS
263,1630240,2.4523706909829697,1630240,Saben Lee,G,DET
199,1629675,2.438815020295126,1629675,Naz Reid,C,MIN
185,1629651,2.43269135120237,1629651,Nicolas Claxton,F,BKN
205,1629685,2.392076112372812,1629685,Dylan Windler,G,CLE
248,1630202,2.2221054160186458,1630202,Payton Pritchard,G,BOS
194,1629669,1.9949168195698477,1629669,Jaylen Nowell,G,MIN
184,1629650,1.8941588834435457,1629650,Moses Brown,C,OKC
259,1630231,1.7821521773296956,1630231,KJ Martin,F,HOU
156,1629308,1.758960724565106,1629308,Juan Toscano-Anderson,F,GSW
33,1627745,1.6512451387894582,1627745,Damian Jones,C,SAC
116,1628990,1.508258654483703,1628990,Chandler Hutchison,F,WAS
366,203487,1.4082852686575562,203487,Michael Carter-Williams,G,ORL
128,1629011,1.2739362716715807,1629011,Mitchell Robinson,C,NYK
268,1630271,1.2330991125835487,1630271,Brodric Thomas,G,CLE
276,201142,1.2027133714888854,201142,Kevin Durant,F,BKN
228,1630175,1.1449952263438559,1630175,Cole Anthony,G,ORL
72,1628379,1.033422564853324,1628379,Luke Kennard,G,LAC
206,1629712,1.002061663801314,1629712,Didi Louzada,G,NOP
121,1628998,0.9946540654971172,1628998,Cody Martin,F,CHA
218,1630165,0.9890842480109416,1630165,Killian Hayes,G,DET
96,1628778,0.923166521986947,1628778,Paul Watson,G,TOR
147,1629076,0.9198610546327034,1629076,Tyler Cook,F,DET
354,203210,0.8774001217367492,203210,JaMychal Green,F,DEN
215,1630162,0.8609322346390071,1630162,Anthony Edwards,G,MIN
353,203200,0.8572870453208923,203200,Justin Holiday,F,IND
207,1629717,0.8553740526316755,1629717,Armoni Brooks,G,HOU
219,1630166,0.8306702895343148,1630166,Deni Avdija,F,WAS
295,201933,0.7903897128854279,201933,Blake Griffin,F,BKN
168,1629631,0.7889420999017697,1629631,De'Andre Hunter,F,ATL
155,1629234,0.7742118519606399,1629234,Drew Eubanks,F,SAS
266,1630264,0.6847799682994841,1630264,Anthony Gill,F,WAS
170,1629633,0.6607236709717424,1629633,Jarrett Culver,G,MIN
125,1629004,0.6236100907884509,1629004,Sviatoslav Mykhailiuk,G,OKC
272,200765,0.6206768444263788,200765,Rajon Rondo,G,LAC
249,1630203,0.5462052947725677,1630203,Grant Riller,G,CHA
377,203507,0.545600731720696,203507,Giannis Antetokounmpo,F,MIL
42,1627763,0.5062337123601889,1627763,Malcolm Brogdon,G,IND
193,1629667,0.4858340957708241,1629667,Jalen McDaniels,F,CHA
186,1629652,0.45422428414262117,1629652,Luguentz Dort,G,OKC
74,1628381,0.4520669925285693,1628381,John Collins,F,ATL
235,1630183,0.4506752899751354,1630183,Jaden McDaniels,F,MIN
68,1628372,0.43734037078402455,1628372,Dennis Smith,G,DET
23,1626196,0.4185323790641651,1626196,Josh Richardson,G,DAL
29,1627734,0.41830840677742126,1627734,Domantas Sabonis,F,IND
145,1629060,0.4032288373744394,1629060,Rui Hachimura,F,WAS
171,1629634,0.3791554187991566,1629634,Brandon Clarke,F,MEM
311,202331,0.3678087327987665,202331,Paul George,F,LAC
355,203457,0.36032278972139425,203457,Nerlens Noel,C,NYK
400,203953,0.3574248590359715,203953,Jabari Parker,F,BOS
236,1630184,0.35614092926279023,1630184,Kira Lewis,G,NOP
369,203493,0.3478527900877123,203493,Reggie Bullock,G,NYK
344,203087,0.3453970060528549,203087,Jeremy Lamb,G,IND
142,1629052,0.3294227289687287,1629052,Oshae Brissett,F,IND
364,203484,0.32562901269326144,203484,Kentavious Caldwell-Pope,G,LAL
39,1627756,0.3251035630166254,1627756,Denzel Valentine,G,CHI
283,201567,0.31074351961957786,201567,Kevin Love,F,CLE
370,203496,0.3094230968393712,203496,Robert Covington,F,POR
407,204001,0.30668911773519264,204001,Kristaps Porzingis,F,DAL
53,1627827,0.3033889116615481,1627827,Dorian Finney-Smith,F,DAL
62,1628366,0.2656364894435156,1628366,Lonzo Ball,G,NOP
120,1628997,0.2617178796373779,1628997,Caleb Martin,F,CHA
380,203552,0.24790295904557094,203552,Seth Curry,G,PHI
326,202694,0.24544283117474308,202694,Marcus Morris,F,LAC
402,203967,0.24505769821361684,203967,Dario Saric,F,PHX
93,1628467,0.24456843419441143,1628467,Maxi Kleber,F,DAL
31,1627741,0.23648471447989614,1627741,Buddy Hield,G,SAC
86,1628415,0.23504434788727013,1628415,Dillon Brooks,G,MEM
67,1628371,0.23165987919449213,1628371,Jonathan Isaac,F,ORL
253,1630214,0.21796909459709007,1630214,Xavier Tillman,F,MEM
34,1627747,0.19452722032000427,1627747,Caris LeVert,G,IND
140,1629029,0.1865595730814612,1629029,Luka Doncic,F,DAL
5,1626156,0.17729592769068206,1626156,D'Angelo Russell,G,MIN
232,1630180,0.17697823578458527,1630180,Saddiq Bey,F,DET
181,1629645,0.17531246042128174,1629645,Kevin Porter,G,HOU
50,1627814,0.17519853282972292,1627814,Damion Lee,G,GSW
270,200746,0.17481704072100143,200746,LaMarcus Aldridge,C,BKN
384,203901,0.163905663212049,203901,Elfrid Payton,G,NYK
415,2772,0.15927307259897183,2772,Trevor Ariza,F,MIA
52,1627826,0.15038613329809986,1627826,Ivica Zubac,C,LAC
290,201586,0.1395447323641049,201586,Serge Ibaka,F,LAC
297,201937,0.13785088531402895,201937,Ricky Rubio,G,MIN
398,203944,0.13434119204883552,203944,Julius Randle,F,NYK
230,1630177,0.1287710855932443,1630177,Theo Maledon,G,OKC
394,203933,0.1222498063484669,203933,TJ Warren,F,IND
287,201572,0.12160451514386147,201572,Brook Lopez,C,MIL
411,2546,0.1195130646858503,2546,Carmelo Anthony,F,POR
233,1630181,0.10724497487927082,1630181,RJ Hampton,G,ORL
351,203115,0.1065856560418967,203115,Will Barton,G,DEN
198,1629673,0.1044866474287348,1629673,Jordan Poole,G,GSW
71,1628378,0.10019975074269137,1628378,Donovan Mitchell,G,UTA
18,1626174,0.09003261488132039,1626174,Christian Wood,F,HOU
360,203471,0.08964165768166832,203471,Dennis Schroeder,G,LAL
271,200752,0.08827708818426216,200752,Rudy Gay,F,SAS
357,203463,0.08454074003530189,203463,Ben McLemore,G,LAL
314,202340,0.07831333107795213,202340,Avery Bradley,G,HOU
323,202691,0.06907716091554592,202691,Klay Thompson,G,GSW
305,201980,0.0655888430383569,201980,Danny Green,G,PHI
315,202355,0.06457384774892083,202355,Hassan Whiteside,C,SAC
204,1629684,0.06344363277111359,1629684,Grant Williams,F,BOS
137,1629026,0.05924825749303997,1629026,Kenrich Williams,G,OKC
282,201566,0.04794519814987885,201566,Russell Westbrook,G,WAS
77,1628389,0.04674303778955613,1628389,Bam Adebayo,C,MIA
313,202339,0.04633187705737539,202339,Eric Bledsoe,G,NOP
371,203497,0.04416864608744395,203497,Rudy Gobert,C,UTA
47,1627783,0.044072206889069925,1627783,Pascal Siakam,F,TOR
54,1627832,0.03682939632658706,1627832,Fred VanVleet,G,TOR
179,1629643,0.026317468009900133,1629643,Chuma Okeke,F,ORL
395,203935,0.02512584970732317,203935,Marcus Smart,G,BOS
65,1628369,0.02434414588408418,1628369,Jayson Tatum,F,BOS
203,1629681,0.0021668794106128367,1629681,Killian Tillie,F,MEM
136,1629023,0.0012997529203430628,1629023,PJ Washington,F,CHA
280,201152,-0.005473336464123859,201152,Thaddeus Young,F,CHI
300,201949,-0.005583747600963584,201949,James Johnson,F,NOP
138,1629027,-0.007220066914701414,1629027,Trae Young,G,ATL
322,202689,-0.0074379452090874805,202689,Kemba Walker,G,BOS
277,201143,-0.010600312079444164,201143,Al Horford,C,OKC
3,1626149,-0.01111168157434299,1626149,Montrezl Harrell,F,LAL
247,1630201,-0.021857593022922544,1630201,Malachi Flynn,G,TOR
310,202330,-0.026394669910303953,202330,Gordon Hayward,F,CHA
319,202683,-0.026743697809822636,202683,Enes Kanter,C,POR
139,1629028,-0.02883798013023139,1629028,Deandre Ayton,C,PHX
383,203897,-0.03270432219363183,203897,Zach LaVine,G,CHI
333,202711,-0.046615751375261076,202711,Bojan Bogdanovic,F,UTA
350,203114,-0.047479440670331954,203114,Khris Middleton,F,MIL
200,1629676,-0.05021704571665641,1629676,Isaiah Roby,F,OKC
24,1626204,-0.051665965948406924,1626204,Larry Nance Jr,F,CLE
122,1629001,-0.05375982124410343,1629001,De'Anthony Melton,G,MEM
368,203490,-0.055046477474242926,203490,Otto Porter,F,ORL
278,201144,-0.060405857823969546,201144,Mike Conley,G,UTA
17,1626172,-0.060812232602648425,1626172,Kevon Looney,F,GSW
84,1628404,-0.07003793313838078,1628404,Josh Hart,G,NOP
273,200768,-0.0736054443326946,200768,Kyle Lowry,G,TOR
307,202066,-0.07378968834426039,202066,Garrett Temple,G,CHI
172,1629636,-0.07525712284856564,1629636,Darius Garland,G,CLE
165,1629628,-0.07730924759990469,1629628,RJ Barrett,F,NYK
92,1628464,-0.08345004937784033,1628464,Daniel Theis,F,CHI
75,1628384,-0.09595990422952845,1628384,OG Anunoby,F,TOR
312,202334,-0.09674729239422092,202334,Ed Davis,C,MIN
25,1626220,-0.09954678809180624,1626220,Royce O'Neale,F,UTA
85,1628408,-0.10536806497954147,1628408,PJ Dozier,G,DEN
40,1627759,-0.12870574779265662,1627759,Jaylen Brown,G,BOS
378,203524,-0.12933805504447463,203524,Solomon Hill,F,ATL
338,203078,-0.13032753024909208,203078,Bradley Beal,G,WAS
372,203500,-0.13853285698039405,203500,Steven Adams,C,NOP
365,203486,-0.14766065412852053,203486,Mason Plumlee,F,DET
328,202696,-0.16792988273460846,202696,Nikola Vucevic,C,CHI
49,1627789,-0.16929330084172628,1627789,Timothe Luwawu,G,BKN
332,202710,-0.1716211153763502,202710,Jimmy Butler,F,MIA
143,1629056,-0.1716499608662446,1629056,Terence Davis,G,SAC
132,1629018,-0.17753073348098458,1629018,Gary Trent Jr,G,TOR
361,203473,-0.18107233179625348,203473,Dewayne Dedmon,C,MIA
162,1629622,-0.18491936195013997,1629622,Max Strus,G,MIA
337,203076,-0.1863290222119615,203076,Anthony Davis,F,LAL
294,201609,-0.19601224674984996,201609,Goran Dragic,G,MIA
284,201568,-0.1997153633460616,201568,Danilo Gallinari,F,ATL
69,1628373,-0.20093840761231263,1628373,Frank Ntilikina,G,NYK
388,203918,-0.2013259306784025,203918,Rodney Hood,G,TOR
286,201571,-0.21100209973139294,201571,DJ Augustin,G,HOU
26,1626224,-0.21464419600640303,1626224,Cedi Osman,F,CLE
6,1626157,-0.21785500882626854,1626157,Karl-Anthony Towns,C,MIN
188,1629655,-0.2261977246176039,1629655,Daniel Gafford,F,WAS
20,1626181,-0.22693004667209665,1626181,Norman Powell,G,POR
281,201565,-0.24119194153344775,201565,Derrick Rose,G,NYK
180,1629644,-0.24207070088959518,1629644,KZ Okpala,F,MIA
341,203083,-0.25005584181617907,203083,Andre Drummond,C,LAL
404,203992,-0.251132874614418,203992,Bogdan Bogdanovic,G,ATL
222,1630169,-0.2516206567769024,1630169,Tyrese Haliburton,G,SAC
169,1629632,-0.2537800786808617,1629632,Coby White,G,CHI
191,1629661,-0.254900775469428,1629661,Cameron Johnson,F,PHX
101,1628966,-0.2566986090733966,1628966,Keita Bates-Diop,F,SAS
