,0
0,101107
1,101108
2,101139
3,101141
4,101150
5,1626144
6,1626145
7,1626149
8,1626153
9,1626156
10,1626157
11,1626158
12,1626159
13,1626161
14,1626162
15,1626163
16,1626164
17,1626167
18,1626168
19,1626169
20,1626171
21,1626172
22,1626174
23,1626178
24,1626179
25,1626181
26,1626188
27,1626192
28,1626195
29,1626196
30,1626203
31,1626204
32,1626209
33,1626220
34,1626224
35,1626246
36,1626259
37,1627732
38,1627734
39,1627736
40,1627737
41,1627739
42,1627740
43,1627741
44,1627742
45,1627745
46,1627746
47,1627747
48,1627748
49,1627749
50,1627750
51,1627751
52,1627752
53,1627756
54,1627759
55,1627761
56,1627763
57,1627767
58,1627774
59,1627775
60,1627777
61,1627780
62,1627783
63,1627788
64,1627789
65,1627790
66,1627812
67,1627814
68,1627820
69,1627823
70,1627826
71,1627827
72,1627832
73,1627846
74,1627853
75,1627854
76,1627863
77,1627884
78,1627885
79,1627936
80,1627982
81,1628021
82,1628035
83,1628365
84,1628366
85,1628368
86,1628369
87,1628370
88,1628371
89,1628372
90,1628373
91,1628374
92,1628378
93,1628379
94,1628381
95,1628382
96,1628384
97,1628386
98,1628388
99,1628389
100,1628390
101,1628391
102,1628394
103,1628395
104,1628396
105,1628400
106,1628401
107,1628402
108,1628404
109,1628407
110,1628410
111,1628411
112,1628412
113,1628415
114,1628418
115,1628420
116,1628422
117,1628425
118,1628430
119,1628449
120,1628464
121,1628467
122,1628470
123,1628476
124,1628518
125,1628960
126,1628961
127,1628963
128,1628964
129,1628966
130,1628969
131,1628970
132,1628971
133,1628972
134,1628973
135,1628975
136,1628976
137,1628977
138,1628978
139,1628980
140,1628981
141,1628982
142,1628983
143,1628984
144,1628988
145,1628989
146,1628990
147,1628991
148,1628993
149,1628995
150,1628997
151,1628998
152,1629001
153,1629002
154,1629003
155,1629004
156,1629006
157,1629008
158,1629010
159,1629011
160,1629012
161,1629013
162,1629014
163,1629016
164,1629018
165,1629019
166,1629021
167,1629022
168,1629023
169,1629026
170,1629027
171,1629029
172,1629033
173,1629035
174,1629048
175,1629056
176,1629057
177,1629058
178,1629059
179,1629060
180,1629065
181,1629066
182,1629067
183,1629076
184,1629103
185,1629109
186,1629126
187,1629130
188,1629133
189,1629134
190,1629139
191,1629151
192,1629598
193,1629605
194,1629607
195,1629620
196,1629628
197,1629629
198,1629630
199,1629631
200,1629632
201,1629633
202,1629634
203,1629635
204,1629636
205,1629637
206,1629638
207,1629639
208,1629641
209,1629642
210,1629645
211,1629647
212,1629648
213,1629652
214,1629655
215,1629661
216,1629662
217,1629669
218,1629671
219,1629672
220,1629673
221,1629678
222,1629680
223,1629682
224,1629684
225,1629690
226,1629713
227,1629726
228,1629735
229,1629738
230,1629740
231,1629741
232,1629742
233,1629750
234,1629752
235,1713
236,200746
237,200752
238,200755
239,200757
240,200765
241,200768
242,200782
243,200794
244,200826
245,201143
246,201144
247,201145
248,201152
249,201158
250,201162
251,201163
252,201188
253,201229
254,201565
255,201566
256,201567
257,201568
258,201569
259,201571
260,201572
261,201577
262,201584
263,201586
264,201587
265,201588
266,201599
267,201609
268,201933
269,201935
270,201937
271,201942
272,201950
273,201952
274,201959
275,201960
276,201961
277,201976
278,201980
279,201988
280,202066
281,202083
282,202323
283,202324
284,202329
285,202330
286,202331
287,202334
288,202335
289,202339
290,202340
291,202355
292,202357
293,202397
294,202681
295,202684
296,202685
297,202687
298,202689
299,202692
300,202693
301,202694
302,202695
303,202696
304,202697
305,202699
306,202709
307,202710
308,202711
309,202722
310,202734
311,202738
312,202954
313,203076
314,203077
315,203078
316,203081
317,203082
318,203083
319,203084
320,203085
321,203087
322,203090
323,203095
324,203107
325,203109
326,203110
327,203114
328,203115
329,203118
330,203124
331,203145
332,203210
333,203382
334,203457
335,203458
336,203459
337,203463
338,203468
339,203469
340,203471
341,203473
342,203482
343,203484
344,203486
345,203487
346,203488
347,203490
348,203496
349,203497
350,203500
351,203501
352,203503
353,203504
354,203507
355,203516
356,203524
357,203526
358,203552
359,203584
360,203585
361,203648
362,203705
363,203894
364,203895
365,203897
366,203901
367,203903
368,203914
369,203915
370,203918
371,203920
372,203922
373,203924
374,203925
375,203926
376,203932
377,203933
378,203935
379,203937
380,203939
381,203943
382,203944
383,203952
384,203953
385,203954
386,203957
387,203960
388,203967
389,203991
390,203992
391,203998
392,203999
393,204001
394,204020
395,204025
396,204038
397,204060
398,204456
399,2199
400,2544
401,2546
402,2594
403,2772
404,101107
405,101108
406,101133
407,101139
408,101141
409,101150
410,1626144
411,1626145
412,1626149
413,1626153
414,1626156
415,1626157
416,1626158
417,1626159
418,1626161
419,1626162
420,1626163
421,1626164
422,1626167
423,1626168
424,1626171
425,1626172
426,1626174
427,1626178
428,1626179
429,1626181
430,1626188
431,1626192
432,1626196
433,1626203
434,1626204
435,1626209
436,1626220
437,1626224
438,1626246
439,1626259
440,1627732
441,1627733
442,1627734
443,1627736
444,1627737
445,1627739
446,1627740
447,1627741
448,1627742
449,1627745
450,1627746
451,1627747
452,1627748
453,1627749
454,1627750
455,1627751
456,1627752
457,1627756
458,1627759
459,1627761
460,1627763
461,1627767
462,1627774
463,1627775
464,1627777
465,1627780
466,1627783
467,1627788
468,1627789
469,1627812
470,1627814
471,1627820
472,1627823
473,1627826
474,1627827
475,1627832
476,1627846
477,1627853
478,1627854
479,1627863
480,1627884
481,1627885
482,1627936
483,1628021
484,1628035
485,1628365
486,1628366
487,1628368
488,1628369
489,1628370
490,1628371
491,1628372
492,1628373
493,1628374
494,1628378
495,1628379
496,1628380
497,1628381
498,1628382
499,1628384
500,1628386
501,1628388
502,1628389
503,1628390
504,1628391
505,1628392
506,1628395
507,1628396
508,1628398
509,1628400
510,1628401
