,START_POSITION,PLAYER_ID,GAME_ID,TEAM_ID,TEAM_LOCATION,STARTER
0,F,203952.0,0022000001,1610612744,AWAY,True
1,F,1629672.0,0022000001,1610612744,AWAY,True
2,C,1630164.0,0022000001,1610612744,AWAY,True
3,G,1626162.0,0022000001,1610612744,AWAY,True
4,G,201939.0,0022000001,1610612744,AWAY,True
13,F,203925.0,0022000001,1610612751,HOME,True
14,F,201142.0,0022000001,1610612751,HOME,True
15,C,201599.0,0022000001,1610612751,HOME,True
16,G,203915.0,0022000001,1610612751,HOME,True
17,G,202681.0,0022000001,1610612751,HOME,True
0,F,202695.0,0022000002,1610612746,AWAY,True
1,F,201587.0,0022000002,1610612746,AWAY,True
2,C,201586.0,0022000002,1610612746,AWAY,True
3,G,202331.0,0022000002,1610612746,AWAY,True
4,G,201976.0,0022000002,1610612746,AWAY,True
14,F,2544.0,0022000002,1610612747,HOME,True
15,F,203076.0,0022000002,1610612747,HOME,True
16,C,201188.0,0022000002,1610612747,HOME,True
17,G,203484.0,0022000002,1610612747,HOME,True
18,G,203471.0,0022000002,1610612747,HOME,True
0,F,203114.0,0022000003,1610612749,AWAY,True
1,F,203507.0,0022000003,1610612749,AWAY,True
2,C,201572.0,0022000003,1610612749,AWAY,True
3,G,1628978.0,0022000003,1610612749,AWAY,True
4,G,201950.0,0022000003,1610612749,AWAY,True
15,F,1628369.0,0022000003,1610612738,HOME,True
16,F,202684.0,0022000003,1610612738,HOME,True
17,C,1628464.0,0022000003,1610612738,HOME,True
18,G,1627759.0,0022000003,1610612738,HOME,True
19,G,203935.0,0022000003,1610612738,HOME,True
0,F,1629067.0,0022000013,1610612764,AWAY,True
1,F,1630166.0,0022000013,1610612764,AWAY,True
2,C,1628418.0,0022000013,1610612764,AWAY,True
3,G,203078.0,0022000013,1610612764,AWAY,True
4,G,201566.0,0022000013,1610612764,AWAY,True
14,F,201980.0,0022000013,1610612755,HOME,True
15,F,202699.0,0022000013,1610612755,HOME,True
16,C,203954.0,0022000013,1610612755,HOME,True
17,G,203552.0,0022000013,1610612755,HOME,True
18,G,1627732.0,0022000013,1610612755,HOME,True
0,F,201942.0,0022000017,1610612759,AWAY,True
1,F,1629640.0,0022000017,1610612759,AWAY,True
2,C,200746.0,0022000017,1610612759,AWAY,True
3,G,1629022.0,0022000017,1610612759,AWAY,True
4,G,1627749.0,0022000017,1610612759,AWAY,True
14,F,1628415.0,0022000017,1610612763,HOME,True
15,F,203937.0,0022000017,1610612763,HOME,True
16,C,202685.0,0022000017,1610612763,HOME,True
17,G,1628960.0,0022000017,1610612763,HOME,True
18,G,1629630.0,0022000017,1610612763,HOME,True
0,F,203924.0,0022000018,1610612765,AWAY,True
